,name,last_season,average_value
383,Adnan Ugur,2023.0,322727.2727272727
384,Adnane Abid,2022.0,150000.0
385,Adnane Tighadouini,2018.0,718055.5555555555
386,Ado Onaiwu,2022.0,1021428.5714285715
387,Adolfo Gaich,2023.0,5703571.428571428
388,Adolfo Martínez,2013.0,100000.0
389,Adolphe Teikeu,2020.0,562962.9629629629
390,Adri López,2019.0,145454.54545454544
391,Adrian Adam,2015.0,175000.0
392,Adrian Beck,2023.0,200000.0
393,Adrian Cannavaro,2022.0,100000.0
394,Adrian Chovan,2023.0,207894.73684210525
395,Adrian Cristea,2012.0,1130000.0
396,Adrian Fein,2023.0,2150000.0
397,Adrian Grbic,2023.0,2253571.4285714286
398,Adrian Imeri,2018.0,50000.0
399,Adrian Kappenberger,2023.0,117857.14285714286
400,Adrian Mariappa,2019.0,1439696.9696969697
401,Adrian Mierzejewski,2013.0,2060000.0
402,Adrian Mutu,2013.0,7178947.368421053
403,Adrian Nikci,2013.0,436538.46153846156
404,Adrian Oeynhausen,2019.0,105000.0
405,Adrian Pereira,2021.0,593750.0
406,Adrian Petre,2022.0,615789.4736842106
407,Adrian Pukanych,2013.0,385294.1176470588
408,Adrian Ropotan,2013.0,1195000.0
409,Adrian Semper,2021.0,1221428.5714285714
410,Adrian Stanilewicz,2019.0,220000.0
411,Adrian Stoian,2017.0,790740.7407407408
412,Adriano,2020.0,9002777.777777778
413,Adriano Castanheira,2021.0,379166.6666666667
414,Adriano Facchini,2017.0,367857.14285714284
415,Adriano Firmino,2022.0,475000.0
416,Adriano Russo,2015.0,281666.6666666667
417,Adriano Skenderaj,2018.0,131250.0
418,Adrien Bongiovanni,2022.0,527500.0
419,Adrien Coulomb,2012.0,140000.0
420,Adrien Faidherbe,2014.0,75000.0
421,Adrien Hunou,2022.0,2977083.3333333335
422,Adrien Lebeau,2023.0,221428.57142857142
423,Adrien Louveau,2022.0,100000.0
424,Adrien Rabiot,2023.0,21893103.44827586
425,Adrien Regattin,2021.0,1195000.0
426,Adrien Saussez,2013.0,336666.6666666667
427,Adrien Silva,2021.0,8322972.972972973
428,Adrien Tamèze,2023.0,4673684.2105263155
429,Adrien Thomasson,2023.0,4843181.818181818
430,Adrien Truffert,2023.0,10720000.0
431,Adrien Trébel,2023.0,3091379.3103448274
432,Adrion Pajaziti,2022.0,175000.0
433,Adrià Carmona,2012.0,209375.0
434,Adrià Pedrosa,2023.0,6281250.0
435,Adrián,2023.0,3603571.4285714286
436,Adrián Balboa,2013.0,433333.3333333333
437,Adrián Bernabé,2020.0,3720000.0
438,Adrián Butzke,2023.0,175000.0
439,Adrián Calello,2013.0,809259.2592592592
440,Adrián Colombino,2023.0,513636.36363636365
441,Adrián Colunga,2013.0,2277083.3333333335
442,Adrián Corral,2022.0,100000.0
443,Adrián Dalmau,2021.0,1697222.2222222222
444,Adrián Diéguez,2018.0,518333.3333333333
445,Adrián Embarba,2023.0,3278571.4285714286
446,Adrián González,2017.0,1462500.0
447,Adrián González,2021.0,46428.57142857143
448,Adrián Guerrero,2019.0,904166.6666666666
449,Adrián Gunino,2014.0,939705.8823529412
450,Adrián Jusino,2020.0,388636.36363636365
451,Adrián Lapeña,2019.0,362500.0
452,Adrián Lucero,2019.0,716666.6666666666
453,Adrián López,2015.0,450000.0
454,Adrián López,2020.0,4216666.666666667
455,Adrián Marín,2023.0,977500.0
456,Adrián Ortolá,2017.0,598958.3333333334
457,Adrián Ramos,2019.0,3611764.705882353
458,Adrián Ricchiuti,2012.0,395454.54545454547
459,Adrián Riera,2023.0,342307.6923076923
460,Adrián Rodríguez,2021.0,60000.0
461,Adrián Saballs,2013.0,50000.0
462,Adrián Sardinero,2020.0,492045.45454545453
463,Adrián Spörle,2021.0,542307.6923076923
464,Adrián Szőke,2021.0,253846.15384615384
465,Adrián Tellado,2018.0,50000.0
466,Adrián de la Fuente,2022.0,462500.0
467,Adryan,2019.0,1770689.6551724137
468,Adson,2023.0,3912500.0
469,Adu Ares,2023.0,300000.0
470,Adul Seidi,2016.0,215000.0
471,Adélcio Varela,2018.0,33333.333333333336
472,Adílio Santos,2021.0,227272.72727272726
473,Adílio Varela,2018.0,41666.666666666664
474,Afeez Nosiru,2022.0,150000.0
475,Afimico Pululu,2021.0,1083333.3333333333
476,Afonso,2012.0,350000.0
477,Afonso Brito,2018.0,133333.33333333334
478,Afonso Figueiredo,2020.0,537500.0
479,Afonso Freitas,2023.0,800000.0
480,Afonso Sousa,2021.0,1613888.888888889
481,Afonso Taira,2022.0,535714.2857142857
482,Afriyie Acquah,2020.0,1850000.0
483,Ager Aketxe,2017.0,1078260.8695652173
484,Agil Etemadi,2018.0,115625.0
485,Agim Ibraimi,2013.0,676428.5714285715
486,Agim Zeka,2020.0,165909.0909090909
487,Agon Mehmeti,2016.0,704347.8260869565
488,Agon Mucolli,2022.0,236666.66666666666
489,Agostino Camigliano,2015.0,246428.57142857142
490,Agostino Gallo,2013.0,104166.66666666667
491,Agron Rufati,2021.0,205555.55555555556
492,Aguibou Camara,2023.0,3185714.285714286
493,Agus García,2018.0,580000.0
494,Agustín Anello,2023.0,290000.0
495,Agustín Cedrés,2016.0,60000.0
496,Agustín Cousillas,2014.0,115625.0
497,Agustín Marchesín,2023.0,3391071.4285714286
498,Agustín Martegani,2023.0,1400000.0
499,Agustín Rogel,2019.0,1992857.142857143
500,Agustín Vuletich,2015.0,419736.84210526315
501,Agustín Álvarez,2023.0,4072727.272727273
502,Ahmad Benali,2020.0,1590000.0
503,Ahmad Mendes Moreira,2022.0,332692.3076923077
504,Ahmad Ngouyamsa,2020.0,550000.0
505,Ahmadou Dia,2019.0,200000.0
506,Ahmed Abdelaal,2014.0,50000.0
507,Ahmed Abou-Mosalem,2012.0,300000.0
508,Ahmed Ammi,2012.0,400000.0
509,Ahmed Daghim,2019.0,137500.0
510,Ahmed El Messaoudi,2022.0,844000.0
511,Ahmed Elmohamady,2020.0,2944444.4444444445
512,Ahmed Hassan,2014.0,103571.42857142857
513,Ahmed Hassan,2023.0,2884615.3846153845
514,Ahmed Hegazy,2020.0,2368333.3333333335
515,Ahmed Ildiz,2021.0,561842.1052631579
516,Ahmed Iljazovski,2023.0,142500.0
517,Ahmed Isaiah,2020.0,175000.0
518,Ahmed Januzi,2015.0,515000.0
519,Ahmed Kantari,2014.0,1097826.0869565217
520,Ahmed Kashi,2014.0,535000.0
521,Ahmed Kutucu,2021.0,2492307.6923076925
522,Ahmed Mostafa,2018.0,223076.92307692306
523,Ahmed Musa,2023.0,8475757.575757576
524,Ahmed Samir Farag,2013.0,355000.0
525,Ahmed Sassi,2013.0,306250.0
526,Ahmed Sidibé,2021.0,100000.0
527,Ahmed Touba,2023.0,1164705.8823529412
528,Ahmed Yasin,2020.0,484090.9090909091
529,Ahmed Yasser,2013.0,153125.0
530,Ahmed Yasser Rayan,2021.0,666071.4285714285
531,Ahmet Aras,2017.0,293055.55555555556
532,Ahmet Arslan,2015.0,265217.39130434784
533,Ahmet Bahcivan,2016.0,107692.30769230769
534,Ahmet Burgaz,2014.0,50000.0
535,Ahmet Calik,2021.0,1930434.7826086956
536,Ahmet Can Arik,2019.0,43750.0
537,Ahmet Canbaz,2020.0,107692.30769230769
538,Ahmet Cebe,2015.0,394000.0
539,Ahmet Celalettin Seckinli,2018.0,50000.0
540,Ahmet Cevat Varol,2019.0,27500.0
541,Ahmet Cicek,2013.0,50000.0
542,Ahmet Colak,2018.0,40714.28571428572
543,Ahmet Demirli,2019.0,83333.33333333333
544,Ahmet Dereli,2016.0,198148.14814814815
545,Ahmet Engin,2023.0,478409.0909090909
546,Ahmet Gülay,2022.0,309090.9090909091
547,Ahmet Gürleyen,2019.0,333333.3333333333
548,Ahmet Ilhan Özek,2017.0,989423.0769230769
549,Ahmet Kagan Malatyali,2023.0,50000.0
550,Ahmet Karadayi,2017.0,62500.0
551,Ahmet Karademir,2022.0,188888.88888888888
552,Ahmet Kartal,2020.0,30000.0
553,Ahmet Kesim,2016.0,161904.7619047619
554,Ahmet Kivanc,2022.0,50000.0
555,Ahmet Kürsat Kilic,2019.0,50000.0
556,Ahmet Oguz,2023.0,890625.0
557,Ahmet Sabri Fener,2013.0,71875.0
558,Ahmet Sahbaz,2014.0,163888.88888888888
559,Ahmet Sahin,2017.0,212037.03703703705
560,Ahmet Sun,2017.0,106250.0
561,Ahmet Taner Cukadar,2015.0,45833.333333333336
562,Ahmet Özden,2016.0,40000.0
563,Ahmet Özer,2016.0,118750.0
564,Ahmetcan Kaplan,2023.0,1818181.8181818181
565,Ahmethan Köse,2018.0,177083.33333333334
566,Aias Aosman,2023.0,544642.8571428572
567,Aidan Connolly,2015.0,140909.0909090909
568,Aidan Keena,2019.0,125000.0
569,Aidan Nesbitt,2015.0,133333.33333333334
570,Aidan Wilson,2017.0,100000.0
571,Aiden McGeady,2022.0,4291406.25
572,Aiden O'Neill,2023.0,500000.0
573,Aidi Fulangxisi,2017.0,105555.55555555556
574,Aidy White,2019.0,397368.4210526316
575,Aihen Muñoz,2023.0,4067857.1428571427
576,Aimar Oroz,2023.0,2309090.909090909
577,Aimar Sher,2022.0,1033333.3333333334
578,Aimen Moueffek,2021.0,1600000.0
579,Ainsley Maitland-Niles,2023.0,9680555.555555556
580,Aitor Buñuel,2016.0,583333.3333333334
581,Aitor Cantalapiedra,2023.0,1205882.3529411764
582,Aitor Fernández,2016.0,259523.80952380953
583,Aitor Fernández,2023.0,3188888.888888889
584,Aitor Gismera,2022.0,116666.66666666667
585,Aitor Lorea,2016.0,50000.0
586,Aitor Paredes,2023.0,720000.0
587,Aitor Ruibal,2023.0,1934375.0
588,Aitor Seguín,2012.0,293750.0
